CMDLINE C:\Users\ACER\AppData\Local\Python\pythoncore-3.14-64\python.exe memory_profile_case.py
MEM 1.691406 1777864541.1447
MEM 16.742188 1777864541.2451
MEM 26.808594 1777864541.3455
